name	dataset	audio_path	video_path	mel_mean_path	mel_diff_path	duration
1773	FAIR-Play	/home/h-okano/DiffBinaural/dataset/binaural_audios_16000Hz/001773.wav	/home/h-okano/DiffBinaural/dataset/videos/001773	/home/h-okano/DiffBinaural/processed_data/melspec_mean/001773_mel.npy	/home/h-okano/DiffBinaural/processed_data/melspec_diff/001773_mel.npy	10.005313
163	FAIR-Play	/home/h-okano/DiffBinaural/dataset/binaural_audios_16000Hz/000163.wav	/home/h-okano/DiffBinaural/dataset/videos/000163	/home/h-okano/DiffBinaural/processed_data/melspec_mean/000163_mel.npy	/home/h-okano/DiffBinaural/processed_data/melspec_diff/000163_mel.npy	10.005313
1144	FAIR-Play	/home/h-okano/DiffBinaural/dataset/binaural_audios_16000Hz/001144.wav	/home/h-okano/DiffBinaural/dataset/videos/001144	/home/h-okano/DiffBinaural/processed_data/melspec_mean/001144_mel.npy	/home/h-okano/DiffBinaural/processed_data/melspec_diff/001144_mel.npy	10.005313
600	FAIR-Play	/home/h-okano/DiffBinaural/dataset/binaural_audios_16000Hz/000600.wav	/home/h-okano/DiffBinaural/dataset/videos/000600	/home/h-okano/DiffBinaural/processed_data/melspec_mean/000600_mel.npy	/home/h-okano/DiffBinaural/processed_data/melspec_diff/000600_mel.npy	10.005313
212	FAIR-Play	/home/h-okano/DiffBinaural/dataset/binaural_audios_16000Hz/000212.wav	/home/h-okano/DiffBinaural/dataset/videos/000212	/home/h-okano/DiffBinaural/processed_data/melspec_mean/000212_mel.npy	/home/h-okano/DiffBinaural/processed_data/melspec_diff/000212_mel.npy	10.005313
664	FAIR-Play	/home/h-okano/DiffBinaural/dataset/binaural_audios_16000Hz/000664.wav	/home/h-okano/DiffBinaural/dataset/videos/000664	/home/h-okano/DiffBinaural/processed_data/melspec_mean/000664_mel.npy	/home/h-okano/DiffBinaural/processed_data/melspec_diff/000664_mel.npy	9.984
35	FAIR-Play	/home/h-okano/DiffBinaural/dataset/binaural_audios_16000Hz/000035.wav	/home/h-okano/DiffBinaural/dataset/videos/000035	/home/h-okano/DiffBinaural/processed_data/melspec_mean/000035_mel.npy	/home/h-okano/DiffBinaural/processed_data/melspec_diff/000035_mel.npy	10.005313
1020	FAIR-Play	/home/h-okano/DiffBinaural/dataset/binaural_audios_16000Hz/001020.wav	/home/h-okano/DiffBinaural/dataset/videos/001020	/home/h-okano/DiffBinaural/processed_data/melspec_mean/001020_mel.npy	/home/h-okano/DiffBinaural/processed_data/melspec_diff/001020_mel.npy	10.005313
1838	FAIR-Play	/home/h-okano/DiffBinaural/dataset/binaural_audios_16000Hz/001838.wav	/home/h-okano/DiffBinaural/dataset/videos/001838	/home/h-okano/DiffBinaural/processed_data/melspec_mean/001838_mel.npy	/home/h-okano/DiffBinaural/processed_data/melspec_diff/001838_mel.npy	9.984
133	FAIR-Play	/home/h-okano/DiffBinaural/dataset/binaural_audios_16000Hz/000133.wav	/home/h-okano/DiffBinaural/dataset/videos/000133	/home/h-okano/DiffBinaural/processed_data/melspec_mean/000133_mel.npy	/home/h-okano/DiffBinaural/processed_data/melspec_diff/000133_mel.npy	10.005313
328	FAIR-Play	/home/h-okano/DiffBinaural/dataset/binaural_audios_16000Hz/000328.wav	/home/h-okano/DiffBinaural/dataset/videos/000328	/home/h-okano/DiffBinaural/processed_data/melspec_mean/000328_mel.npy	/home/h-okano/DiffBinaural/processed_data/melspec_diff/000328_mel.npy	10.005313
1850	FAIR-Play	/home/h-okano/DiffBinaural/dataset/binaural_audios_16000Hz/001850.wav	/home/h-okano/DiffBinaural/dataset/videos/001850	/home/h-okano/DiffBinaural/processed_data/melspec_mean/001850_mel.npy	/home/h-okano/DiffBinaural/processed_data/melspec_diff/001850_mel.npy	10.005313
370	FAIR-Play	/home/h-okano/DiffBinaural/dataset/binaural_audios_16000Hz/000370.wav	/home/h-okano/DiffBinaural/dataset/videos/000370	/home/h-okano/DiffBinaural/processed_data/melspec_mean/000370_mel.npy	/home/h-okano/DiffBinaural/processed_data/melspec_diff/000370_mel.npy	9.984
1480	FAIR-Play	/home/h-okano/DiffBinaural/dataset/binaural_audios_16000Hz/001480.wav	/home/h-okano/DiffBinaural/dataset/videos/001480	/home/h-okano/DiffBinaural/processed_data/melspec_mean/001480_mel.npy	/home/h-okano/DiffBinaural/processed_data/melspec_diff/001480_mel.npy	9.984
1136	FAIR-Play	/home/h-okano/DiffBinaural/dataset/binaural_audios_16000Hz/001136.wav	/home/h-okano/DiffBinaural/dataset/videos/001136	/home/h-okano/DiffBinaural/processed_data/melspec_mean/001136_mel.npy	/home/h-okano/DiffBinaural/processed_data/melspec_diff/001136_mel.npy	10.005313
1011	FAIR-Play	/home/h-okano/DiffBinaural/dataset/binaural_audios_16000Hz/001011.wav	/home/h-okano/DiffBinaural/dataset/videos/001011	/home/h-okano/DiffBinaural/processed_data/melspec_mean/001011_mel.npy	/home/h-okano/DiffBinaural/processed_data/melspec_diff/001011_mel.npy	10.005313
1635	FAIR-Play	/home/h-okano/DiffBinaural/dataset/binaural_audios_16000Hz/001635.wav	/home/h-okano/DiffBinaural/dataset/videos/001635	/home/h-okano/DiffBinaural/processed_data/melspec_mean/001635_mel.npy	/home/h-okano/DiffBinaural/processed_data/melspec_diff/001635_mel.npy	10.005313
